	artist_names	popularity_score	track_names	genres_all	acousticness	danceability	duration_ms	energy	instrumentalness	liveness	loudness	mode	speechiness	tempo	time_signature	valence
631	Cher	65	Fernando	dance pop, hollywood	0.462	0.406	239373	0.57	0.0	0.27399999999999997	-7.763999999999999	1	0.0279	111.5	4	0.58
632	Dan + Shay	58	Stupid Love	contemporary country, country road	0.133	0.6890000000000001	194693	0.545	0.0	0.284	-4.303999999999999	1	0.0383	170.01	4	0.732
633	Dan + Shay	55	Island Time	contemporary country, country road	0.0706	0.534	199320	0.755	0.0	0.0866	-5.005	1	0.0359	144.014	4	0.466
634	Dan + Shay	48	Speechless - The Vocals	contemporary country, country road	0.47700000000000004	0.5670000000000001	206912	0.358	0.0	0.26899999999999996	-9.226	1	0.214	135.43	4	0.396
635	NAV	60	Reckless Intro	canadian hip hop, pop, pop rap, rap, southern hip hop, trap music	0.266	0.8190000000000001	142547	0.669	7.66e-06	0.111	-5.202000000000001	0	0.275	80.046	3	0.474
636	NAV	56	With Me	canadian hip hop, pop, pop rap, rap, southern hip hop, trap music	0.205	0.809	174320	0.7759999999999999	0.0	0.113	-4.746	0	0.22399999999999998	155.037	4	0.6970000000000001
637	Kodie Shane	59	Love & Drugz II	atl hip hop, trap queen, vapor trap	0.124	0.659	188775	0.429	0.0	0.41	-7.959	0	0.0758	93.999	4	0.0396
638	A$AP Rocky	62	Distorted Records	east coast hip hop, hip hop, pop, pop rap, rap, trap music	0.13699999999999998	0.655	140133	0.8690000000000001	2.36e-05	0.312	-4.343999999999999	0	0.212	135.763	4	0.0815
639	A$AP Rocky	60	Hun43rd	east coast hip hop, hip hop, pop, pop rap, rap, trap music	0.444	0.584	242747	0.546	0.0	0.355	-9.321	1	0.0762	136.336	4	0.355
640	Dermot Kennedy	64	Young & Free	indie anthem-folk, indie folk	0.0845	0.48700000000000004	266766	0.63	0.0	0.109	-6.053	1	0.0432	153.131	3	0.156
641	Dermot Kennedy	64	Young & Free	indie anthem-folk, indie folk	0.0845	0.48700000000000004	266766	0.63	0.0	0.109	-6.053	1	0.0432	153.131	3	0.156
642	Token	61	Code Red	boston hip hop	0.326	0.8009999999999999	218673	0.7809999999999999	0.0	0.191	-6.175	0	0.34600000000000003	113.775	4	0.667
643	Token	61	Code Red	boston hip hop	0.326	0.8009999999999999	218673	0.7809999999999999	0.0	0.191	-6.175	0	0.34600000000000003	113.775	4	0.667
644	Token	54	Well	boston hip hop	0.131	0.752	182800	0.732	0.0186	0.0947	-7.14	0	0.34299999999999997	129.82299999999998	4	0.24
